	alpha	beta	chi	delta	eta	gamma	kappa	lambda	mu	nu	omega	phi	rho	theta
50405-01-04-01	0.000769126756875	0.412483371092	7.16196897038e-10	4.59656747239e-05	0.0625232799206	0.0004657958638	8.29268896503e-05	6.83031808965e-06	0.000285518386348	1.1452766962e-08	1.02121341224e-07	5.69671675924e-08	0.519609548527	0.00372746531389
50405-01-04-01	0.00107504911827	0.426858209053	1.03921410164e-09	6.54139698455e-05	0.08749831091	0.000608688590703	0.000143294127707	9.12567662353e-06	0.000292959284561	1.2671300546e-08	2.15583202485e-07	9.44777462948e-08	0.478618718965	0.00482990653275
50405-01-04-01	0.000664905400478	0.290145464003	5.53473883039e-10	3.64155452615e-05	0.0667101095662	0.000330040337473	9.80017729052e-05	5.3388989191e-06	0.000196950075767	7.49200438969e-09	1.75264559041e-07	5.12128164032e-08	0.637274235444	0.00453830443317
50405-01-04-01	0.00065882779145	0.268038702781	6.04552054159e-10	2.17371021266e-05	0.0620006117052	0.00022210334798	4.56486180331e-05	3.54726195648e-06	0.000109361722621	7.88058182041e-09	9.7207721885e-08	3.86511213239e-08	0.663611294612	0.00528802071296
70702-01-50-01	1.8860594908e-07	3.31909510791e-08	0.0255164938409	6.66416258812e-08	0.00612351820177	3.90021976258e-05	2.28452631894e-08	3.30700788596e-12	7.00699690666e-11	6.04535641198e-10	0.00245940972145	3.33270858933e-05	2.50525133824e-14	0.965827936991
70702-01-50-01	2.75944596139e-07	5.28730223475e-08	0.0273867210571	8.09187072428e-08	0.00890382023274	6.20055032206e-05	3.74462247306e-08	4.49104332484e-12	1.77377001367e-10	1.09431980248e-09	0.00213616057742	4.265524703e-05	6.06298896366e-14	0.961468188924
70702-01-50-01	4.4769363668e-07	5.20115634025e-08	0.0144842236663	1.06268753129e-07	0.00989473245456	3.53730493528e-05	4.35600035438e-08	5.64889761646e-12	9.92626338116e-11	1.01319350592e-09	0.00256259397642	4.44269092662e-05	1.87559234067e-13	0.972977999292
70702-01-50-01	3.84490073217e-07	3.74307153036e-08	0.0197853729586	9.92376872779e-08	0.00760885720896	4.57745178199e-05	3.8703254481e-08	6.01091789598e-12	1.05903866982e-10	8.34500342923e-10	0.00392996271223	4.7247823229e-05	1.16539589692e-13	0.968582223971
50703-01-18-01	0.361135023058	1.91037206646e-05	0.638843036386	1.58571831503e-13	2.99774312219e-10	5.57853056165e-08	1.20017703362e-16	6.89370039572e-09	7.13448009148e-21	1.35923400821e-08	7.26708721039e-11	1.13436814588e-06	1.34084484381e-23	1.62582279059e-06
50703-01-18-01	0.361685180638	1.80164682277e-05	0.638294324716	1.79747567731e-13	2.48828665746e-10	5.86646230791e-08	1.17268512971e-16	7.51248037657e-09	6.73661481592e-21	1.20623716711e-08	8.13391132443e-11	1.17418706845e-06	1.20040276711e-23	1.22542172638e-06
80701-01-23-01	0.350112093624	5.11264237432e-06	0.649879054172	1.01567364931e-13	9.44118899383e-11	1.07959411799e-08	2.5193338954e-16	1.17550374375e-09	9.06855746967e-22	1.55416244394e-08	3.38990825723e-10	3.47582917606e-06	2.86615018429e-24	2.35784971513e-07
80701-01-23-01	0.361636308258	8.10821303881e-06	0.638351200099	1.67999847541e-13	1.48521229054e-10	1.11844983607e-08	4.75303783428e-16	1.08677376406e-09	1.03641527274e-21	1.59548887266e-08	6.32193981531e-10	3.99943290839e-06	4.95861058902e-24	3.54990292763e-07
80701-01-23-01	0.292181966762	6.20902177712e-06	0.707806393979	1.96096906363e-13	1.973438193e-10	2.10923774093e-08	8.3068365868e-16	1.14584379985e-09	3.19429595173e-21	1.88438340189e-08	7.3749102336e-10	5.0436766037e-06	5.90086747257e-24	3.4454302798e-07
80701-01-23-01	0.116077781494	3.28550894529e-06	0.88391662617	5.04068307097e-14	5.05189817402e-11	1.121835816e-08	1.47697192645e-16	4.61436572592e-10	8.44470250147e-22	8.5708067688e-09	2.70901562606e-10	2.15738492064e-06	5.20248142716e-25	1.28869949061e-07
70703-01-01-03	1.13953842117e-07	1.91402126665e-06	0.999462834448	1.81759040642e-07	0.000456009292266	6.89677717535e-05	2.52126057133e-13	1.2669426979e-13	3.7057686806e-14	1.15153924381e-08	7.21031505772e-15	9.49402412602e-06	1.11605528568e-24	4.73214043754e-07
70703-01-01-03	7.64674248167e-08	2.77539996002e-06	0.999317382011	1.9760619149e-07	0.000610575343401	6.02938702217e-05	2.96486127109e-13	7.36447393664e-14	3.83501116167e-14	1.17512728152e-08	6.30226020576e-15	8.08142147139e-06	9.59780830994e-25	6.06128543604e-07
60100-01-01-01	0.093074039111	7.99445558788e-07	0.901059284237	2.51200053107e-11	4.46463855153e-06	3.1272152809e-06	3.70320590631e-13	5.0939820765e-10	8.1438486567e-17	3.45320719971e-07	3.73483070569e-09	5.0984267583e-05	1.83754162541e-19	0.00580695149451
60100-01-01-01	0.0996190760987	7.91610277413e-07	0.895098297859	2.72289559256e-11	6.62524704104e-06	4.78507490958e-06	5.50039388454e-13	5.10553065998e-10	1.79490932683e-16	4.62242962279e-07	2.79949287519e-09	5.95961295109e-05	2.8325385856e-19	0.00521036239988
60100-01-01-01	0.118371064494	4.93017243856e-07	0.879043166099	1.87851351689e-11	2.57050343507e-06	2.96423393413e-06	1.93426298482e-13	5.99356232763e-10	5.09334329836e-17	3.37076861445e-07	1.68463313701e-09	5.10210406166e-05	8.59420274368e-20	0.0025283812318
60100-01-01-01	0.215755412027	4.16564746908e-07	0.782836458363	1.6758803834e-11	1.42159578286e-06	4.06385284919e-06	1.83575100671e-13	1.36449407865e-09	6.53928076137e-17	3.51927654927e-07	2.00930088238e-09	5.77407470321e-05	1.24586513437e-19	0.00134413153109
60100-01-01-01	0.166354270417	3.55491871702e-07	0.832252219113	9.79776207582e-12	1.38316025449e-06	4.00331518151e-06	1.47158753311e-13	9.30550872253e-10	7.24517906095e-17	3.45291232424e-07	1.41355562966e-09	4.62289691156e-05	9.58526943944e-20	0.0013411918885
60100-01-01-01	0.285754740871	5.73527642273e-07	0.71118959139	1.16715013809e-11	2.69613662577e-06	4.0291987056e-06	2.53836416361e-13	1.23243334004e-09	1.02161354852e-16	5.21731827572e-07	1.98088258809e-09	5.35581746257e-05	4.24796247756e-19	0.00299428574472
91701-01-05-02	0.000110097529677	0.00185374370564	0.683966167573	1.62031417143e-07	0.313068288837	0.00022807963243	3.6711765431e-08	5.97109855567e-13	5.97020327604e-12	1.96087527446e-06	1.02292264595e-10	0.000278274300841	7.38510896072e-19	0.000493188694284
91701-01-05-02	0.00135976630598	0.0499515541578	0.105515609143	1.57480652784e-06	0.829557721128	0.000317498691897	2.22030148893e-07	7.85306239786e-11	7.74558254662e-11	8.15342199183e-06	6.49804070465e-10	0.000292504873477	8.35758982988e-16	0.0129953946355
91701-01-05-02	1.43910330941e-07	0.987902433127	9.53235743244e-12	2.48530073671e-12	0.011203668367	3.12325780635e-09	5.22164464592e-09	1.74272095143e-13	2.56267728334e-08	2.31441908875e-08	9.46217496677e-17	2.22161390429e-12	7.29827736825e-07	0.000892967637762
91701-01-05-02	9.09216027658e-06	0.96392860865	1.45801224359e-10	1.98436476411e-08	0.01026844582	3.27319845391e-06	1.99855787569e-05	1.11782849425e-08	5.52593031816e-06	8.79638893267e-09	7.65980622306e-10	9.75661620079e-10	6.95007950861e-06	0.025758076877
91701-01-05-02	0.000596661756749	0.802053364312	6.28448852128e-09	1.99593609005e-06	0.0278265297974	0.000127135883776	0.000108591742628	3.06887984172e-06	1.37922165549e-05	1.99617445496e-08	7.07146952249e-07	6.72779335161e-08	0.000148573642437	0.169119485162
90701-01-24-01	0.000365812062263	0.0110564738801	3.61479148963e-14	4.31490190774e-09	0.000926933486231	1.72766856668e-05	7.76030222228e-05	4.02275372022e-06	0.00206252437066	1.11404054333e-09	7.22130612877e-12	3.04013118187e-10	0.985488958946	3.89052574364e-07
90701-01-24-01	0.000397303595034	0.00769507701837	4.12542635177e-14	2.86211602844e-09	0.000877483296948	1.57425186668e-05	6.24008780295e-05	3.8701062215e-06	0.00152203991703	9.61842869894e-10	1.0059972729e-11	2.8990309893e-10	0.989425500494	5.7805156185e-07
90701-01-24-01	0.000466469055806	0.012063197554	3.92747676567e-14	4.52307076671e-09	0.000957048403537	1.78812570705e-05	9.6048807225e-05	4.91069750408e-06	0.00180840334064	1.07881844105e-09	1.03400540705e-11	3.56202535169e-10	0.984585649644	3.85271928544e-07
