tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
315240224.062,2.59476403569e-06,1.26110995413e-06,0.999233786601,4.05293852219e-09,2.16713173822e-10,0.000753784193666,5.55561345189e-16,1.82671648882e-09,1.34335598134e-10,6.95035336687e-06,7.51286573418e-09,1.57300078333e-06,5.5346288168e-21,3.62339309512e-08
315240480.062,3.38639713272e-06,1.54401172152e-06,0.999115245157,4.89275174277e-09,2.83667971747e-10,0.000869580872883,7.56876432876e-16,2.07976317478e-09,1.7799488599e-10,8.30761079425e-06,8.23859794466e-09,1.87753961404e-06,8.86575337149e-21,4.27378252156e-08
315240736.062,2.74997773016e-06,1.30706450986e-06,0.999233589125,2.76702951651e-09,2.25411660551e-10,0.000753224921144,4.4743005572e-16,1.58379223639e-09,1.38808825387e-10,7.76306352919e-06,4.70657384624e-09,1.3222483845e-06,6.25629981615e-21,3.41781612898e-08
315240992.062,6.53603878668e-07,4.17548379972e-07,0.999667855007,9.0188165879e-10,8.70130944833e-11,0.000327036879674,8.08759589633e-17,7.29960009943e-10,3.30084380069e-11,3.43040235672e-06,2.71859929162e-09,5.89866968387e-07,7.4448074441e-22,1.22215813593e-08
529513600.062,3.26321070662e-06,7.46651832667e-06,0.985377754547,9.15148277955e-07,2.59969535061e-08,0.000449472928262,7.5954213391e-10,1.19658889171e-07,5.39057285928e-09,0.011971982944,0.0014333049039,4.63346612918e-06,2.2242698196e-16,0.000751054527739
529513856.062,1.61130008006e-06,5.0421815991e-06,0.990201566459,6.72658938405e-07,1.66567058909e-08,0.000353030751756,3.79302873959e-10,9.5718120864e-08,3.22600936034e-09,0.00776260854521,0.00120546231849,3.71219150172e-06,9.71508295377e-17,0.000466177613316
529514112.062,9.32735792294e-07,4.53837048489e-06,0.99348720688,4.46128523905e-07,1.09924388825e-08,0.000297690843216,1.75880669738e-10,6.67180961804e-08,1.79789480731e-09,0.00514599581432,0.000620113704885,2.6121426458e-06,6.60600146566e-17,0.000440383695331
529514368.062,6.52288268616e-07,3.72008104494e-06,0.993569709573,4.37233637867e-07,8.83713325308e-09,0.000300859669076,1.6334424212e-10,6.93705842312e-08,2.01103422653e-09,0.00509695175461,0.000712347649924,2.60503181529e-06,5.02783114558e-17,0.000312636336495
282142048.062,1.22610166334e-06,7.02320322121e-09,0.0642967411434,0.00150169564645,0.000117680398657,0.000915306462364,1.26949834338e-11,7.06292478379e-11,8.07646602155e-10,9.98832261646e-08,0.000639309870157,0.932527932545,3.15516644637e-16,3.45501477353e-11
177422512.062,2.12664069339e-09,3.55523004604e-05,7.14668536562e-17,2.40973296746e-10,2.98645223e-11,3.05706416899e-07,0.365505718158,0.000524608126776,0.63390808859,7.58077941851e-07,5.57674511528e-07,5.53654952848e-11,2.44089126246e-05,1.71011557255e-13
